
instance,run_group,run_id,repeat,population_size,generations,mutation_rate,best_value,cpu_time
dat/pb_500rnd0300.dat,pop_size,1,2,100,500,0.5,1144,16.623
dat/pb_500rnd0300.dat,pop_size,1,3,100,500,0.5,1151,16.741
dat/pb_500rnd0300.dat,pop_size,2,1,150,500,0.5,1160,25.857
dat/pb_500rnd0300.dat,pop_size,2,2,150,500,0.5,1131,25.39
dat/pb_500rnd0300.dat,pop_size,2,3,150,500,0.5,1165,26.802
dat/pb_500rnd0300.dat,pop_size,3,1,200,500,0.5,1169,39.94
dat/pb_500rnd0300.dat,pop_size,3,2,200,500,0.5,1140,35.552
dat/pb_500rnd0300.dat,pop_size,3,3,200,500,0.5,1148,33.423
dat/pb_500rnd0300.dat,generations,4,1,200,100,0.5,1162,10.513
dat/pb_500rnd0300.dat,generations,4,2,200,100,0.5,1162,10.668
dat/pb_500rnd0300.dat,generations,4,3,200,100,0.5,1165,10.434
dat/pb_500rnd0300.dat,generations,5,1,200,250,0.5,1152,19.124
dat/pb_500rnd0300.dat,generations,5,2,200,250,0.5,1146,19.045
dat/pb_500rnd0300.dat,generations,5,3,200,250,0.5,1151,18.949
dat/pb_500rnd0300.dat,generations,6,1,200,500,0.5,1137,33.501
dat/pb_500rnd0300.dat,generations,6,2,200,500,0.5,1151,33.343
dat/pb_500rnd0300.dat,generations,6,3,200,500,0.5,1162,32.292
dat/pb_500rnd0300.dat,mutation,7,1,200,500,0.1,1164,24.817
dat/pb_500rnd0300.dat,mutation,7,2,200,500,0.1,1141,24.396
dat/pb_500rnd0300.dat,mutation,7,3,200,500,0.1,1148,25.201
dat/pb_500rnd0300.dat,mutation,8,1,200,500,0.5,1162,31.844
dat/pb_500rnd0300.dat,mutation,8,2,200,500,0.5,1155,31.26
dat/pb_500rnd0300.dat,mutation,8,3,200,500,0.5,1162,31.533
dat/pb_500rnd0300.dat,mutation,9,1,200,500,0.7,1172,34.537
dat/pb_500rnd0300.dat,mutation,9,2,200,500,0.7,1162,35.406
dat/pb_500rnd0300.dat,mutation,9,3,200,500,0.7,1160,38.371
dat/pb_500rnd1700.dat,pop_size,1,1,100,500,0.5,168,2.572
dat/pb_500rnd1700.dat,pop_size,1,2,100,500,0.5,168,2.292
dat/pb_500rnd1700.dat,pop_size,1,3,100,500,0.5,168,2.509
dat/pb_500rnd1700.dat,pop_size,2,1,150,500,0.5,185,3.74
dat/pb_500rnd1700.dat,pop_size,2,2,150,500,0.5,175,3.467
dat/pb_500rnd1700.dat,pop_size,2,3,150,500,0.5,173,3.698
dat/pb_500rnd1700.dat,pop_size,3,1,200,500,0.5,185,5.241
dat/pb_500rnd1700.dat,pop_size,3,2,200,500,0.5,185,5.15
dat/pb_500rnd1700.dat,pop_size,3,3,200,500,0.5,192,5.063
dat/pb_500rnd1700.dat,generations,4,1,200,100,0.5,184,1.394
dat/pb_500rnd1700.dat,generations,4,2,200,100,0.5,179,1.669
dat/pb_500rnd1700.dat,generations,4,3,200,100,0.5,163,1.354
dat/pb_500rnd1700.dat,generations,5,1,200,250,0.5,174,2.829
dat/pb_500rnd1700.dat,generations,5,2,200,250,0.5,188,2.931
dat/pb_500rnd1700.dat,generations,5,3,200,250,0.5,170,3.302
dat/pb_500rnd1700.dat,generations,6,1,200,500,0.5,176,4.761
dat/pb_500rnd1700.dat,generations,6,2,200,500,0.5,167,4.565
dat/pb_500rnd1700.dat,generations,6,3,200,500,0.5,182,5.183
dat/pb_500rnd1700.dat,mutation,7,1,200,500,0.1,174,3.881
dat/pb_500rnd1700.dat,mutation,7,2,200,500,0.1,187,4.388
dat/pb_500rnd1700.dat,mutation,7,3,200,500,0.1,171,3.828
dat/pb_500rnd1700.dat,mutation,8,1,200,500,0.5,188,5.251
dat/pb_500rnd1700.dat,mutation,8,2,200,500,0.5,185,5.318
dat/pb_500rnd1700.dat,mutation,8,3,200,500,0.5,187,5.568
dat/pb_500rnd1700.dat,mutation,9,1,200,500,0.7,176,5.205
dat/pb_500rnd1700.dat,mutation,9,2,200,500,0.7,182,5.651
dat/pb_500rnd1700.dat,mutation,9,3,200,500,0.7,185,6.057
dat/pb_200rnd0400.dat,pop_size,1,1,100,500,0.5,62,8.658
dat/pb_200rnd0400.dat,pop_size,1,2,100,500,0.5,62,8.951
dat/pb_200rnd0400.dat,pop_size,1,3,100,500,0.5,62,8.792
dat/pb_200rnd0400.dat,pop_size,2,1,150,500,0.5,62,13.227
dat/pb_200rnd0400.dat,pop_size,2,2,150,500,0.5,62,13.149
dat/pb_200rnd0400.dat,pop_size,2,3,150,500,0.5,62,12.844
dat/pb_200rnd0400.dat,pop_size,3,1,200,500,0.5,63,17.865
dat/pb_200rnd0400.dat,pop_size,3,2,200,500,0.5,62,17.898
dat/pb_200rnd0400.dat,pop_size,3,3,200,500,0.5,62,17.552
dat/pb_200rnd0400.dat,generations,4,1,200,100,0.5,62,4.525
dat/pb_200rnd0400.dat,generations,4,2,200,100,0.5,62,4.367
dat/pb_200rnd0400.dat,generations,4,3,200,100,0.5,62,4.594
dat/pb_200rnd0400.dat,generations,5,1,200,250,0.5,62,9.399
dat/pb_200rnd0400.dat,generations,5,2,200,250,0.5,62,9.809
dat/pb_200rnd0400.dat,generations,5,3,200,250,0.5,62,9.571
dat/pb_200rnd0400.dat,generations,6,1,200,500,0.5,62,17.818
dat/pb_200rnd0400.dat,generations,6,2,200,500,0.5,62,18.936
dat/pb_200rnd0400.dat,generations,6,3,200,500,0.5,62,18.904
dat/pb_200rnd0400.dat,mutation,7,1,200,500,0.1,62,14.524
dat/pb_200rnd0400.dat,mutation,7,2,200,500,0.1,62,14.912
dat/pb_200rnd0400.dat,mutation,7,3,200,500,0.1,62,15.199
dat/pb_200rnd0400.dat,mutation,8,1,200,500,0.5,62,18.753
dat/pb_200rnd0400.dat,mutation,8,2,200,500,0.5,62,19.039
dat/pb_200rnd0400.dat,mutation,8,3,200,500,0.5,62,19.061
dat/pb_200rnd0400.dat,mutation,9,1,200,500,0.7,62,21.029
dat/pb_200rnd0400.dat,mutation,9,2,200,500,0.7,62,19.966
dat/pb_200rnd0400.dat,mutation,9,3,200,500,0.7,62,20.336
dat/pb_200rnd0700.dat,pop_size,1,1,100,500,0.5,990,3.417
dat/pb_200rnd0700.dat,pop_size,1,2,100,500,0.5,997,3.451
dat/pb_200rnd0700.dat,pop_size,1,3,100,500,0.5,991,3.512
dat/pb_200rnd0700.dat,pop_size,2,1,150,500,0.5,991,5.452
dat/pb_200rnd0700.dat,pop_size,2,2,150,500,0.5,989,5.152
dat/pb_200rnd0700.dat,pop_size,2,3,150,500,0.5,991,5.096
dat/pb_200rnd0700.dat,pop_size,3,1,200,500,0.5,992,6.857
dat/pb_200rnd0700.dat,pop_size,3,2,200,500,0.5,992,6.802
dat/pb_200rnd0700.dat,pop_size,3,3,200,500,0.5,992,7.186
dat/pb_200rnd0700.dat,generations,4,1,200,100,0.5,993,2.027
dat/pb_200rnd0700.dat,generations,4,2,200,100,0.5,994,1.604
dat/pb_200rnd0700.dat,generations,4,3,200,100,0.5,991,1.61
dat/pb_200rnd0700.dat,generations,5,1,200,250,0.5,995,3.446
dat/pb_200rnd0700.dat,generations,5,2,200,250,0.5,989,3.386
dat/pb_200rnd0700.dat,generations,5,3,200,250,0.5,989,3.441
dat/pb_200rnd0700.dat,generations,6,1,200,500,0.5,992,6.527
dat/pb_200rnd0700.dat,generations,6,2,200,500,0.5,986,6.435
dat/pb_200rnd0700.dat,generations,6,3,200,500,0.5,992,6.287
dat/pb_200rnd0700.dat,mutation,7,1,200,500,0.1,991,5.655
dat/pb_200rnd0700.dat,mutation,7,2,200,500,0.1,991,5.573
dat/pb_200rnd0700.dat,mutation,7,3,200,500,0.1,991,5.682
dat/pb_200rnd0700.dat,mutation,8,1,200,500,0.5,989,6.831
dat/pb_200rnd0700.dat,mutation,8,2,200,500,0.5,991,6.603
dat/pb_200rnd0700.dat,mutation,8,3,200,500,0.5,989,6.166
dat/pb_200rnd0700.dat,mutation,9,1,200,500,0.7,989,6.514
dat/pb_200rnd0700.dat,mutation,9,2,200,500,0.7,992,6.998
dat/pb_200rnd0700.dat,mutation,9,3,200,500,0.7,990,7.028
dat/pb_1000rnd0100.dat,pop_size,1,1,100,500,0.5,55,3.239
dat/pb_1000rnd0100.dat,pop_size,1,2,100,500,0.5,67,3.577
dat/pb_1000rnd0100.dat,pop_size,1,3,100,500,0.5,67,3.578
dat/pb_1000rnd0100.dat,pop_size,2,1,150,500,0.5,67,5.155
dat/pb_1000rnd0100.dat,pop_size,2,2,150,500,0.5,59,4.366
dat/pb_1000rnd0100.dat,pop_size,2,3,150,500,0.5,67,5.143
dat/pb_1000rnd0100.dat,pop_size,3,1,200,500,0.5,57,5.661
dat/pb_1000rnd0100.dat,pop_size,3,2,200,500,0.5,67,6.674
dat/pb_1000rnd0100.dat,pop_size,3,3,200,500,0.5,67,6.724
dat/pb_1000rnd0100.dat,generations,4,1,200,100,0.5,59,2.298
dat/pb_1000rnd0100.dat,generations,4,2,200,100,0.5,59,2.533
dat/pb_1000rnd0100.dat,generations,4,3,200,100,0.5,57,2.385
dat/pb_1000rnd0100.dat,generations,5,1,200,250,0.5,56,3.557
dat/pb_1000rnd0100.dat,generations,5,2,200,250,0.5,67,4.089
dat/pb_1000rnd0100.dat,generations,5,3,200,250,0.5,59,3.578
dat/pb_1000rnd0100.dat,generations,6,1,200,500,0.5,67,6.717
dat/pb_1000rnd0100.dat,generations,6,2,200,500,0.5,67,6.715
dat/pb_1000rnd0100.dat,generations,6,3,200,500,0.5,67,6.804
dat/pb_1000rnd0100.dat,mutation,7,1,200,500,0.1,57,4.606
dat/pb_1000rnd0100.dat,mutation,7,2,200,500,0.1,67,5.417
dat/pb_1000rnd0100.dat,mutation,7,3,200,500,0.1,59,4.444
dat/pb_1000rnd0100.dat,mutation,8,1,200,500,0.5,67,6.782
dat/pb_1000rnd0100.dat,mutation,8,2,200,500,0.5,67,6.668
dat/pb_1000rnd0100.dat,mutation,8,3,200,500,0.5,67,6.661
dat/pb_1000rnd0100.dat,mutation,9,1,200,500,0.7,59,6.144
dat/pb_1000rnd0100.dat,mutation,9,2,200,500,0.7,57,6.345
dat/pb_1000rnd0100.dat,mutation,9,3,200,500,0.7,59,6.175
dat/pb_1000rnd0300.dat,pop_size,1,1,100,500,0.5,589,24.005
dat/pb_1000rnd0300.dat,pop_size,1,2,100,500,0.5,581,24.138
dat/pb_1000rnd0300.dat,pop_size,1,3,100,500,0.5,593,24.226
dat/pb_1000rnd0300.dat,pop_size,2,1,150,500,0.5,599,34.225
dat/pb_1000rnd0300.dat,pop_size,2,2,150,500,0.5,604,35.242
dat/pb_1000rnd0300.dat,pop_size,2,3,150,500,0.5,593,31.314
dat/pb_1000rnd0300.dat,pop_size,3,1,200,500,0.5,579,41.95
dat/pb_1000rnd0300.dat,pop_size,3,2,200,500,0.5,592,42.788
dat/pb_1000rnd0300.dat,pop_size,3,3,200,500,0.5,588,42.55
dat/pb_1000rnd0300.dat,generations,4,1,200,100,0.5,598,16.965
dat/pb_1000rnd0300.dat,generations,4,2,200,100,0.5,608,16.777
dat/pb_1000rnd0300.dat,generations,4,3,200,100,0.5,596,16.58
dat/pb_1000rnd0300.dat,generations,5,1,200,250,0.5,616,27.418
dat/pb_1000rnd0300.dat,generations,5,2,200,250,0.5,625,27.736
dat/pb_1000rnd0300.dat,generations,5,3,200,250,0.5,595,26.014
dat/pb_1000rnd0300.dat,generations,6,1,200,500,0.5,597,48.604
dat/pb_1000rnd0300.dat,generations,6,2,200,500,0.5,592,49.824
dat/pb_1000rnd0300.dat,generations,6,3,200,500,0.5,608,52.782
dat/pb_1000rnd0300.dat,mutation,7,1,200,500,0.1,633,41.84
dat/pb_1000rnd0300.dat,mutation,7,2,200,500,0.1,604,38.161
dat/pb_1000rnd0300.dat,mutation,7,3,200,500,0.1,612,40.256
dat/pb_1000rnd0300.dat,mutation,8,1,200,500,0.5,609,45.487
dat/pb_1000rnd0300.dat,mutation,8,2,200,500,0.5,617,42.64
dat/pb_1000rnd0300.dat,mutation,8,3,200,500,0.5,590,50.089
dat/pb_1000rnd0300.dat,mutation,9,1,200,500,0.7,599,54.801
dat/pb_1000rnd0300.dat,mutation,9,2,200,500,0.7,594,56.423
dat/pb_1000rnd0300.dat,mutation,9,3,200,500,0.7,598,53.568
